#SampleID	Metaphlan2_Analysis
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Schitoviridae|s__	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Schitoviridae|s__ Inbricusvirus inbricus	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Schitoviridae|s__ Littlefixvirus littlefix	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Schitoviridae|s__ Litunavirus Ab09	6
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Schitoviridae|s__ Litunavirus LIT1	2
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Schitoviridae|s__ Litunavirus PA26	3
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Schitoviridae|s__ Luzseptimavirus KPP21	4
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Schitoviridae|s__ Luzseptimavirus LUZ7	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Schitoviridae|s__ Shizishanvirus phCDa	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Schitoviridae|s__ unclassified Littlefixvirus	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Schitoviridae|s__ unclassified Litunavirus	20
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Schitoviridae|s__ unclassified Luzseptimavirus	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Schitoviridae|s__ Zicotriavirus ZC03	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Schitoviridae|s__ Zicotriavirus ZC08	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Schitoviridae|s__ Zurivirus zuri	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Straboviridae	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Straboviridae|s__ Jiangsuvirus pspyzu05	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Zobellviridae	8
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Zobellviridae|s__	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Zobellviridae|s__ Paundecimvirus PA11	3
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Zobellviridae|s__ unclassified Paundecimvirus	4
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Baikalvirus PaBG	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Beetrevirus B3	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Beetrevirus JBD67	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Beetrevirus JD18	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Beetrevirus PM105	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Bjornvirus bjorn	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Bruynoghevirus Ab22	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Bruynoghevirus CHU	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Bruynoghevirus PAA2	2
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Bruynoghevirus PaP3	3
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Bruynoghevirus PaP4	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Bruynoghevirus TL	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Casadabanvirus D3112	3
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Casadabanvirus DMS3	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Casadabanvirus FHA0480	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Casadabanvirus LPB1	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Casadabanvirus MP22	3
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Casadabanvirus MP29	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Casadabanvirus MP38	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Casadabanvirus PA1KOR	2
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Chakrabartyvirus pf16	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Detrevirus D3	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Detrevirus PMG1	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Elvirus EL	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Flaumdravirus KIL2	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Flaumdravirus KIL4	5
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Harrisonburgvirus persinger	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Hollowayvirus F116	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Hollowayvirus H66	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Knuthellervirus PMBT14	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Kochitakasuvirus KPP25	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Kochitakasuvirus R18	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Krylovvirus tf	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Lanavirus lana	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Maxrubnervirus PMBT3	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Nankokuvirus Ab03	4
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Nankokuvirus G1	5
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Nankokuvirus KPP10	3
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Nankokuvirus PAKP3	4
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Nankokuvirus PS24	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Nickievirus nickie	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Nipunavirus NP1	3
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Nipunavirus PaMx25	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Noxifervirus noxifer	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Otagovirus Psa374	7
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Otagovirus VCM	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pakpunavirus CAb02	3
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pakpunavirus CAb1	2
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pakpunavirus JG004	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__|s__ Pakpunavirus MAG1	1
